C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,
24,GUJARAT,001000,ASSAMESE,3935,2742,1193,,,,,,,,,,
24,GUJARAT,,,,,,002000,BENGALI ,36,25,11,,,,,
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,3,2,1
24,GUJARAT,,,,,,,,,,,006000,HINDI ,13,10,3
24,GUJARAT,,,,,,,,,,,014000,NEPALI ,6,3,3
24,GUJARAT,,,,,,,,,,,022000,URDU,1,1,0
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,11,7,4
24,GUJARAT,,,,,,003000,BODO ,1,1,0,,,,,
24,GUJARAT,,,,,,,,,,,006000,HINDI ,1,1,0
24,GUJARAT,,,,,,005000,GUJARATI,72,43,29,,,,,
24,GUJARAT,,,,,,,,,,,006000,HINDI ,19,14,5
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,6,4,2
24,GUJARAT,,,,,,006000,HINDI ,2841,2106,735,,,,,
24,GUJARAT,,,,,,,,,,,002000,BENGALI ,62,48,14
24,GUJARAT,,,,,,,,,,,003000,BODO ,1,1,0
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,73,55,18
24,GUJARAT,,,,,,,,,,,014000,NEPALI ,2,2,0
24,GUJARAT,,,,,,,,,,,016000,PUNJABI ,3,2,1
24,GUJARAT,,,,,,,,,,,017000,SANSKRIT ,1,1,0
24,GUJARAT,,,,,,,,,,,020000,TAMIL ,1,1,0
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,1166,747,419
24,GUJARAT,,,,,,,,,,,117000,TULU ,2,1,1
24,GUJARAT,,,,,,,,,,,124000,OTHERS,2,1,1
24,GUJARAT,,,,,,013000,MARATHI ,6,3,3,,,,,
24,GUJARAT,,,,,,,,,,,006000,HINDI ,4,2,2
24,GUJARAT,,,,,,014000,NEPALI ,5,2,3,,,,,
24,GUJARAT,,,,,,,,,,,006000,HINDI ,2,1,1
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,3,1,2
24,GUJARAT,,,,,,017000,SANSKRIT ,1,1,0,,,,,
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,1,1,0
24,GUJARAT,,,,,,022000,URDU,7,6,1,,,,,
24,GUJARAT,,,,,,,,,,,006000,HINDI ,4,4,0
24,GUJARAT,,,,,,040000,ENGLISH ,511,291,220,,,,,
24,GUJARAT,,,,,,,,,,,002000,BENGALI ,2,2,0
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,6,3,3
24,GUJARAT,,,,,,,,,,,006000,HINDI ,340,196,144
24,GUJARAT,,,,,,124000,OTHERS,1,0,1,,,,,
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,1,0,1
24,GUJARAT,002000,BENGALI ,79648,49910,29738,,,,,,,,,,
24,GUJARAT,,,,,,001000,ASSAMESE,29,18,11,,,,,
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,1,1,0
24,GUJARAT,,,,,,,,,,,006000,HINDI ,15,6,9
24,GUJARAT,,,,,,,,,,,015000,ODIA ,1,1,0
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,3,3,0
24,GUJARAT,,,,,,005000,GUJARATI,7062,4075,2987,,,,,
24,GUJARAT,,,,,,,,,,,001000,ASSAMESE,1,1,0
24,GUJARAT,,,,,,,,,,,006000,HINDI ,3286,1952,1334
24,GUJARAT,,,,,,,,,,,013000,MARATHI ,25,12,13
24,GUJARAT,,,,,,,,,,,016000,PUNJABI ,2,1,1
24,GUJARAT,,,,,,,,,,,017000,SANSKRIT ,1,1,0
24,GUJARAT,,,,,,,,,,,019000,SINDHI,5,0,5
24,GUJARAT,,,,,,,,,,,021000,TELUGU ,1,1,0
24,GUJARAT,,,,,,,,,,,022000,URDU,36,22,14
24,GUJARAT,,,,,,,,,,,028000,ARABIC/ARBI ,1,1,0
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,1013,590,423
24,GUJARAT,,,,,,,,,,,124000,OTHERS,2,2,0
24,GUJARAT,,,,,,006000,HINDI ,51751,34346,17405,,,,,
24,GUJARAT,,,,,,,,,,,001000,ASSAMESE,36,27,9
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,4824,3012,1812
24,GUJARAT,,,,,,,,,,,007000,KANNADA,4,1,3
24,GUJARAT,,,,,,,,,,,011000,MALAYALAM,1,0,1
24,GUJARAT,,,,,,,,,,,013000,MARATHI ,53,34,19
24,GUJARAT,,,,,,,,,,,014000,NEPALI ,2,2,0
24,GUJARAT,,,,,,,,,,,015000,ODIA ,19,13,6
24,GUJARAT,,,,,,,,,,,016000,PUNJABI ,8,4,4
24,GUJARAT,,,,,,,,,,,017000,SANSKRIT ,16,10,6
24,GUJARAT,,,,,,,,,,,019000,SINDHI,34,5,29
24,GUJARAT,,,,,,,,,,,020000,TAMIL ,9,8,1
24,GUJARAT,,,,,,,,,,,021000,TELUGU ,2,2,0
24,GUJARAT,,,,,,,,,,,022000,URDU,230,160,70
24,GUJARAT,,,,,,,,,,,028000,ARABIC/ARBI ,2,2,0
24,GUJARAT,,,,,,,,,,,030000,BHILI/BHILODI ,4,3,1
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,16189,9576,6613
24,GUJARAT,,,,,,,,,,,124000,OTHERS,66,47,19
24,GUJARAT,,,,,,007000,KANNADA,3,2,1,,,,,
24,GUJARAT,,,,,,,,,,,006000,HINDI ,1,0,1
24,GUJARAT,,,,,,008000,KASHMIRI ,2,1,1,,,,,
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,2,1,1
24,GUJARAT,,,,,,011000,MALAYALAM,2,0,2,,,,,
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,1,0,1
24,GUJARAT,,,,,,013000,MARATHI ,44,24,20,,,,,
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,8,5,3
24,GUJARAT,,,,,,,,,,,006000,HINDI ,23,12,11
24,GUJARAT,,,,,,,,,,,016000,PUNJABI ,1,1,0
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,10,5,5
24,GUJARAT,,,,,,014000,NEPALI ,8,6,2,,,,,
24,GUJARAT,,,,,,,,,,,001000,ASSAMESE,2,1,1
24,GUJARAT,,,,,,,,,,,006000,HINDI ,6,5,1
24,GUJARAT,,,,,,015000,ODIA ,13,8,5,,,,,
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,1,0,1
24,GUJARAT,,,,,,,,,,,006000,HINDI ,7,6,1
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,2,0,2
24,GUJARAT,,,,,,016000,PUNJABI ,13,7,6,,,,,
24,GUJARAT,,,,,,,,,,,005000,GUJARATI,3,1,2
24,GUJARAT,,,,,,,,,,,006000,HINDI ,4,3,1
24,GUJARAT,,,,,,,,,,,040000,ENGLISH ,5,2,3
24,GUJARAT,,,,,,,,,,,124000,OTHERS,1,1,0
