C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,
13,NAGALAND,001000,ASSAMESE,17201,10457,6744,,,,,,,,,,
13,NAGALAND,,,,,,002000,BENGALI ,101,60,41,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,46,33,13
13,NAGALAND,,,,,,,,,,,012000,MANIPURI ,1,1,0
13,NAGALAND,,,,,,,,,,,014000,NEPALI ,1,0,1
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,4,2,2
13,NAGALAND,,,,,,003000,BODO ,45,21,24,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,8,6,2
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,3,1,2
13,NAGALAND,,,,,,,,,,,121000,ZELIANG ,2,2,0
13,NAGALAND,,,,,,006000,HINDI ,6056,4260,1796,,,,,
13,NAGALAND,,,,,,,,,,,002000,BENGALI ,157,125,32
13,NAGALAND,,,,,,,,,,,003000,BODO ,7,4,3
13,NAGALAND,,,,,,,,,,,012000,MANIPURI ,6,4,2
13,NAGALAND,,,,,,,,,,,014000,NEPALI ,63,51,12
13,NAGALAND,,,,,,,,,,,015000,ODIA ,2,2,0
13,NAGALAND,,,,,,,,,,,026000,ANGAMI ,9,3,6
13,NAGALAND,,,,,,,,,,,027000,AO ,30,19,11
13,NAGALAND,,,,,,,,,,,035000,CHAKRU/CHOKRI ,2,1,1
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,947,651,296
13,NAGALAND,,,,,,,,,,,043000,GARO ,7,5,2
13,NAGALAND,,,,,,,,,,,052000,KARBI/MIKIR ,1,1,0
13,NAGALAND,,,,,,,,,,,066000,KONYAK ,2,1,1
13,NAGALAND,,,,,,,,,,,081000,LOTHA ,6,4,2
13,NAGALAND,,,,,,,,,,,082000,LUSHAI/MIZO ,3,3,0
13,NAGALAND,,,,,,,,,,,104000,RENGMA ,2,1,1
13,NAGALAND,,,,,,,,,,,112000,TANGKHUL ,1,0,1
13,NAGALAND,,,,,,,,,,,121000,ZELIANG ,1,1,0
13,NAGALAND,,,,,,,,,,,124000,OTHERS,7,5,2
13,NAGALAND,,,,,,012000,MANIPURI ,6,3,3,,,,,
13,NAGALAND,,,,,,,,,,,002000,BENGALI ,1,1,0
13,NAGALAND,,,,,,,,,,,006000,HINDI ,2,1,1
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,2,0,2
13,NAGALAND,,,,,,014000,NEPALI ,92,55,37,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,19,16,3
13,NAGALAND,,,,,,,,,,,027000,AO ,4,0,4
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,14,10,4
13,NAGALAND,,,,,,,,,,,091000,MUNDA,1,0,1
13,NAGALAND,,,,,,,,,,,107000,SEMA,1,0,1
13,NAGALAND,,,,,,015000,ODIA ,3,1,2,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,2,1,1
13,NAGALAND,,,,,,021000,TELUGU ,1,1,0,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,1,1,0
13,NAGALAND,,,,,,026000,ANGAMI ,62,25,37,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,10,6,4
13,NAGALAND,,,,,,,,,,,012000,MANIPURI ,1,1,0
13,NAGALAND,,,,,,,,,,,027000,AO ,1,0,1
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,15,6,9
13,NAGALAND,,,,,,,,,,,081000,LOTHA ,1,0,1
13,NAGALAND,,,,,,027000,AO ,156,85,71,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,18,9,9
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,25,12,13
13,NAGALAND,,,,,,,,,,,081000,LOTHA ,4,3,1
13,NAGALAND,,,,,,034000,CHAKHESANG ,10,7,3,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,1,1,0
13,NAGALAND,,,,,,,,,,,026000,ANGAMI ,3,3,0
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,4,2,2
13,NAGALAND,,,,,,,,,,,105000,SANGTAM ,1,1,0
13,NAGALAND,,,,,,035000,CHAKRU/CHOKRI ,9,4,5,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,1,0,1
13,NAGALAND,,,,,,,,,,,026000,ANGAMI ,3,2,1
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,1,0,1
13,NAGALAND,,,,,,036000,CHANG ,4,2,2,,,,,
13,NAGALAND,,,,,,040000,ENGLISH ,2498,1488,1010,,,,,
13,NAGALAND,,,,,,,,,,,002000,BENGALI ,17,11,6
13,NAGALAND,,,,,,,,,,,003000,BODO ,1,1,0
13,NAGALAND,,,,,,,,,,,006000,HINDI ,1098,717,381
13,NAGALAND,,,,,,,,,,,012000,MANIPURI ,3,2,1
13,NAGALAND,,,,,,,,,,,014000,NEPALI ,10,4,6
13,NAGALAND,,,,,,,,,,,022000,URDU,1,1,0
13,NAGALAND,,,,,,,,,,,026000,ANGAMI ,11,3,8
13,NAGALAND,,,,,,,,,,,027000,AO ,32,18,14
13,NAGALAND,,,,,,,,,,,035000,CHAKRU/CHOKRI ,3,1,2
13,NAGALAND,,,,,,,,,,,043000,GARO ,1,1,0
13,NAGALAND,,,,,,,,,,,056000,KHEZHA ,4,2,2
13,NAGALAND,,,,,,,,,,,066000,KONYAK ,1,1,0
13,NAGALAND,,,,,,,,,,,071000,KUKI,1,1,0
13,NAGALAND,,,,,,,,,,,081000,LOTHA ,15,10,5
13,NAGALAND,,,,,,,,,,,084000,MAO,1,0,1
13,NAGALAND,,,,,,,,,,,100000,PHOM ,3,1,2
13,NAGALAND,,,,,,,,,,,104000,RENGMA ,1,0,1
13,NAGALAND,,,,,,,,,,,105000,SANGTAM ,4,1,3
13,NAGALAND,,,,,,,,,,,107000,SEMA,1,1,0
13,NAGALAND,,,,,,,,,,,120000,YIMCHUNGRE,2,2,0
13,NAGALAND,,,,,,,,,,,124000,OTHERS,7,4,3
13,NAGALAND,,,,,,043000,GARO ,22,8,14,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,3,1,2
13,NAGALAND,,,,,,051000,KABUI ,1,1,0,,,,,
13,NAGALAND,,,,,,,,,,,006000,HINDI ,1,1,0
13,NAGALAND,,,,,,052000,KARBI/MIKIR ,1,0,1,,,,,
13,NAGALAND,,,,,,,,,,,081000,LOTHA ,1,0,1
13,NAGALAND,,,,,,055000,KHASI ,2,2,0,,,,,
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,1,1,0
13,NAGALAND,,,,,,056000,KHEZHA ,2,2,0,,,,,
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,1,1,0
13,NAGALAND,,,,,,057000,KHIEMNUNGAN,5,3,2,,,,,
13,NAGALAND,,,,,,,,,,,040000,ENGLISH ,1,0,1
