Districtid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53,week54,week55,week56,week57,week58,week59,week60,week61,week62,week63,week64,week65,week66,week67,week68,week69,week70,week71,week72,week73,week74
UP_Sitapur,0,0,0,0,0,0,20,2,4,13,2,3,2,6,11,2,27,28,89,294,275,321,489,375,424,477,384,197,171,208,175,153,80,50,156,55,55,36,36,51,41,43,37,6,12,15,6,9,2,10,4,0,4,22,91,272,960,1805,1327,1101,1170,384,187,61,48,17,38,5,8,31,2,2,1,1
UP_Sonbhadra,0,0,0,0,0,0,0,0,1,2,5,6,16,-1,5,11,31,205,128,178,242,250,133,295,293,407,248,232,254,216,234,186,210,166,173,160,217,179,124,89,65,64,45,32,-156,29,15,19,8,6,9,5,15,40,69,348,1722,2676,2714,2038,1039,599,306,90,58,16,6,4,4,9,5,5,0,2
UP_Sultanpur,0,0,0,0,0,0,3,1,16,40,20,20,14,55,18,15,25,153,134,251,304,544,250,129,252,363,274,191,211,214,189,161,108,123,117,73,120,66,72,133,83,77,85,26,31,15,7,6,5,7,6,3,14,42,75,334,1422,3096,2214,1122,754,484,115,64,50,31,13,-8,18,38,5,6,8,2
UP_Unnao,0,0,0,0,0,0,3,1,2,16,11,14,34,34,41,42,105,150,145,199,319,216,303,414,286,437,282,254,230,165,133,69,102,43,64,63,66,114,69,56,-17,31,35,7,4,4,2,7,3,1,4,4,10,70,142,298,766,2413,2683,2388,780,425,192,84,47,20,69,11,9,12,5,2,1,4
UP_Varanasi,0,0,0,0,0,0,61,21,14,40,39,62,41,53,98,181,209,443,720,1032,1301,1178,1166,1146,1404,1329,1385,1335,1272,984,963,587,590,557,488,594,681,704,671,498,423,382,368,176,118,64,61,36,28,30,37,39,144,277,985,4725,12045,14995,12222,7267,4897,2177,1146,391,182,108,91,64,43,31,23,17,22,11
UT_Almora,0,0,0,0,0,0,1,0,1,5,38,28,1,63,39,16,9,10,53,42,16,55,42,108,214,118,219,389,76,23,150,87,48,120,139,102,103,210,167,185,149,50,67,77,29,0,7,3,-1,1,3,7,14,13,19,68,295,624,1087,1526,1590,1467,959,554,270,135,92,48,27,15,11,36,15,6
UT_Bageshwar,0,0,0,0,0,0,0,0,0,6,10,11,13,19,22,11,1,2,3,35,32,14,17,68,40,65,155,66,64,110,54,60,55,59,50,67,43,88,111,86,41,31,11,14,3,2,1,0,-6,1,2,5,2,3,27,39,79,121,526,1057,529,976,444,143,89,46,17,20,6,8,4,10,8,24
UT_Chamoli,0,0,0,0,0,0,0,0,0,1,10,22,10,11,17,5,1,4,1,10,20,57,63,98,68,114,223,201,155,212,159,206,132,224,248,181,183,207,239,174,90,41,33,22,13,4,6,14,5,3,2,1,1,18,11,37,114,471,1034,1662,1510,1821,1196,448,144,53,35,26,20,5,9,9,23,14
UT_Champawat,0,0,0,0,0,0,0,0,0,7,1,37,3,0,5,6,6,9,22,27,21,53,41,47,113,113,110,104,123,89,111,52,41,32,38,41,112,77,60,101,68,69,51,13,8,2,4,2,-1,2,1,1,1,3,7,27,185,648,805,1608,915,791,336,103,101,72,47,25,14,7,10,8,3,11
UT_Dehradun,0,0,0,0,0,0,33,1,10,19,122,173,103,139,67,75,94,213,342,295,311,382,540,897,1325,1821,3315,2062,1135,1502,1016,683,575,718,919,1033,1122,1414,1625,1286,1267,836,652,505,408,230,196,116,-41,164,113,108,222,513,1046,2420,5851,9710,14639,20698,13929,5975,3113,1407,776,487,364,494,105,69,50,78,47,51
UT_Haridwar,0,0,0,0,0,0,7,0,0,7,37,57,96,55,54,5,29,135,621,355,526,951,620,899,978,987,1668,820,729,596,330,230,206,233,244,204,336,318,396,257,263,191,197,156,104,78,55,58,29,61,92,114,141,363,541,1620,3682,5354,6945,5185,5548,3687,1811,866,470,372,82,116,80,48,24,31,33,20
UT_Nainital,0,0,0,0,0,0,10,0,5,70,144,92,13,32,88,76,34,120,242,273,292,249,396,422,690,667,1118,650,348,397,390,258,253,245,285,330,287,410,593,773,666,558,465,264,222,108,75,58,-51,33,158,102,69,97,198,591,1358,2927,5200,5494,4942,2062,1667,737,287,143,77,94,60,39,49,54,16,9
UT_Pauri Garhwal,0,0,0,0,0,0,1,0,1,4,22,15,19,33,46,3,16,22,14,18,59,26,75,90,274,331,352,388,231,202,212,291,225,366,328,204,286,213,273,193,109,78,69,53,5,8,1,1,-19,-15,6,16,12,24,71,181,567,1317,1968,1961,2565,2086,983,352,116,90,31,27,11,7,7,10,7,7
UT_Pithoragarh,0,0,0,0,0,0,0,0,0,2,19,23,7,13,1,2,3,10,25,45,43,20,13,71,119,219,235,152,64,140,96,85,63,127,159,144,289,208,283,239,212,112,56,28,13,5,10,4,2,1,5,2,3,12,15,70,65,265,543,1231,1283,962,1037,595,289,96,77,91,37,21,30,33,26,19
UT_Rudraprayag,0,0,0,0,0,0,0,0,0,3,2,17,21,13,9,1,1,0,1,9,16,46,27,37,107,166,85,90,77,152,89,122,188,198,177,126,56,58,140,72,79,28,26,14,10,3,2,1,1,0,2,4,6,18,14,46,177,276,560,1004,1471,1608,760,209,73,62,43,25,36,17,11,25,17,10
