district,district_id,state_id
madhubani,BR_Madhubani,BR
lucknow,UP_Lucknow,UP
vaishali,BR_Vaishali,BR
nanded,MH_Nanded,MH
tehri garhwal,UT_Tehri Garhwal,UT
mungeli,CT_Mungeli,CT
sangrur,PB_Sangrur,PB
dharwad,KA_Dharwad,KA
alappuzha,KL_Alappuzha,KL
balangir,OR_Balangir,OR
raigad,MH_Raigad,MH
banswara,RJ_Banswara,RJ
mulugu,TG_Mulugu,TG
east singhbhum,JH_East Singhbhum,JH
charkhi dadri,HR_Charkhi Dadri,HR
bhadrak,OR_Bhadrak,OR
ranchi,JH_Ranchi,JH
krishna,AP_Krishna,AP
patna,BR_Patna,BR
varanasi,UP_Varanasi,UP
kozhikode,KL_Kozhikode,KL
medak,TG_Medak,TG
tarn taran,PB_Tarn Taran,PB
nuapada,OR_Nuapada,OR
panna,MP_Panna,MP
delhi,DL_Delhi,DL
tengnoupal,MN_Tengnoupal,MN
harda,MP_Harda,MP
bandipora,JK_Bandipora,JK
nagaon,AS_Nagaon,AS
shamli,UP_Shamli,UP
mon,NL_Mon,NL
seoni,MP_Seoni,MP
ramanathapuram,TN_Ramanathapuram,TN
nabarangapur,OR_Nabarangapur,OR
rewari,HR_Rewari,HR
ahmedabad,GJ_Ahmedabad,GJ
narmada,GJ_Narmada,GJ
raigarh,CT_Raigarh,CT
saharsa,BR_Saharsa,BR
chirang,AS_Chirang,AS
guna,MP_Guna,MP
thane,MH_Thane,MH
charaideo,AS_Charaideo,AS
baksa,AS_Baksa,AS
vadodara,GJ_Vadodara,GJ
kangpokpi,MN_Kangpokpi,MN
rupnagar,PB_Rupnagar,PB
south west khasi hills,ML_South West Khasi Hills,ML
bhagalpur,BR_Bhagalpur,BR
rampur,UP_Rampur,UP
shi yomi,AR_Shi Yomi,AR
kaimur,BR_Kaimur,BR
kalimpong,WB_Kalimpong,WB
bargarh,OR_Bargarh,OR
lepa rada,AR_Lepa Rada,AR
sivasagar,AS_Sivasagar,AS
visakhapatnam,AP_Visakhapatnam,AP
tiruppur,TN_Tiruppur,TN
fazilka,PB_Fazilka,PB
jalna,MH_Jalna,MH
ambedkar nagar,UP_Ambedkar Nagar,UP
pathankot,PB_Pathankot,PB
bokaro,JH_Bokaro,JH
bundi,RJ_Bundi,RJ
dhar,MP_Dhar,MP
panchkula,HR_Panchkula,HR
jind,HR_Jind,HR
aurangabad,BR_Aurangabad,BR
osmanabad,MH_Osmanabad,MH
west singhbhum,JH_West Singhbhum,JH
south garo hills,ML_South Garo Hills,ML
madurai,TN_Madurai,TN
kanpur nagar,UP_Kanpur Nagar,UP
barwani,MP_Barwani,MP
phek,NL_Phek,NL
khagaria,BR_Khagaria,BR
udham singh nagar,UT_Udham Singh Nagar,UT
thanjavur,TN_Thanjavur,TN
