stateid,14/02/2021dose1,14/02/2021dose2,14/03/2021dose1,14/03/2021dose2,14/04/2021dose1,14/04/2021dose2,14/05/2021dose1,14/05/2021dose2,14/06/2021dose1,14/06/2021dose2,14/07/2021dose1,14/07/2021dose2,14/08/2021dose1,14/08/2021dose2
JH_Jharkhand,0,998,0,5304,0,17133,0,57526,10774,43461,12983,28701,29344,28078,73689,53925,73404,89995,39142,308550,14167,109569,29821,201899,46908,245745,72252,102669,75648,60155,76807,40198,99800,74873,20252,214023,18307,138392,38995,146233,40792,276153,103000,305274,118523,972759,83071,288700,177118,351395,205092,332741,108967,214781,212980,492212,152429,342442,166418,381040,185527,390333,190174,438872
JK_Jammu and Kashmir,0,2064,0,7269,0,7447,0,53795,4941,64806,10746,40006,6069,39554,18979,42262,64910,79001,36758,62441,13279,77347,31130,190045,35577,146383,69872,172312,80869,180148,91247,129340,63253,50209,8109,43797,6113,165837,19613,125014,18610,94559,17159,164707,32441,588223,92296,248708,94672,228689,131333,195325,140903,160068,198662,227467,140580,229974,132056,236564,89014,162814,108028,194282
KA_Karnataka,0,26272,0,47686,0,20695,0,81235,99628,41916,119325,49692,14298,28199,81296,144885,64370,408233,51087,420539,35428,483483,72524,653034,134345,468089,420049,537775,431114,393563,363975,231626,478117,190498,187348,226376,95637,664303,132909,870005,139941,935291,174531,722492,306608,3092159,377683,871563,703733,1027643,538517,763373,685658,836484,597734,711637,743507,1095686,560267,868633,642883,1062756,1255077,1870361
KL_Kerala,0,4180,0,23722,0,37703,0,25005,32101,40555,72119,42357,62110,96977,103218,150753,72412,167015,43741,208903,28824,712844,62045,331917,162737,415559,315138,302251,371139,182116,374905,57329,268969,62318,51013,154525,4480,241434,112792,490832,86056,514429,183167,369641,494863,1753099,585803,589770,470569,430169,609185,509768,822996,706025,579504,869645,359061,861403,257707,873558,272384,1094270,529765,997327
LA_Ladakh,0,43,0,247,0,230,0,262,356,1762,573,3675,817,1906,1066,8107,1983,5012,1836,1014,-45,4833,1090,7791,2287,1523,13000,2123,10632,1661,2744,4714,773,2335,147,4492,19,9561,23,11431,62,8010,89,5686,5900,29703,14636,10236,2573,8507,1458,4107,1012,1111,3999,3045,2295,2168,2873,2330,3405,2315,18055,9616
LD_Lakshadweep,0,588,0,35,0,4,0,612,81,63,26,108,19,16,548,728,689,519,300,219,140,778,661,2015,453,2380,791,1624,428,950,1129,612,1536,738,111,737,29,1154,23,2889,89,3761,78,3017,245,5853,876,1053,2203,1685,2289,1698,1335,1075,1741,1240,899,727,939,916,1446,960,2835,1723
MH_Maharashtra,0,16546,0,62514,0,73108,0,129702,27528,134114,131130,141491,75759,123489,149008,358837,172975,492501,148424,568577,72951,1229804,152351,1347963,296802,1063271,588124,829661,807358,722576,612925,497483,895888,603939,235150,326549,120797,617043,240932,832126,389433,830244,300093,757907,409795,4665781,769898,1550942,991181,1544568,1252898,1569837,854278,1071987,1275690,1566577,874696,1404404,626593,1030469,1200113,1980445,1422509,2391371
ML_Meghalaya,0,179,0,773,0,740,0,2180,1599,8636,2007,10832,1594,3944,4946,5230,10204,5741,10970,5646,1346,2270,5291,7382,5498,10799,7774,13149,8687,38933,7282,22004,6676,27025,276,18136,131,16212,174,8207,207,9335,336,44846,1213,81782,6443,38604,13372,41812,20595,44238,42211,52516,36229,47727,26719,38456,31401,35604,25171,28078,22451,22877
MN_Manipur,0,380,0,733,0,1245,0,4709,1108,7755,1145,11395,1579,10169,5761,9175,8142,4240,10705,4299,3586,1335,10627,4788,6052,7534,6104,11589,6345,35928,5197,33288,3240,22015,437,20753,245,17781,517,20075,621,27536,589,14018,808,68436,2285,54183,8682,86380,16398,75843,44930,78819,55332,70832,32840,40640,30087,27837,29062,19036,29683,19062
MP_Madhya Pradesh,0,14256,0,51373,0,28800,0,162120,23,81056,159639,18459,58663,64176,61984,104553,152884,310774,59320,481595,32583,480951,66614,754968,131050,857468,179632,260859,154104,80857,300021,70199,276921,145383,109834,286971,34388,574908,40640,941067,79396,895442,146552,589865,213390,3271807,290949,1342479,1125053,1023728,315205,938693,380844,952782,641217,2165276,508333,1689062,418402,1328403,548501,1446707,1182456,2667320
MZ_Mizoram,0,344,0,1371,0,542,0,389,2127,2902,2705,5742,2961,6368,856,6169,1822,2803,1326,2125,889,485,4984,6139,7506,19192,7625,20401,4857,16926,2065,6516,3994,3532,72,8478,100,4221,125,5246,790,7881,342,32454,533,73680,4012,23356,27039,31873,36650,29895,36857,23798,17138,13416,6844,8871,10027,9239,7795,6760,6911,5497
NL_Nagaland,0,563,0,759,0,254,0,3993,2949,7912,2051,7037,538,3098,3219,5313,5903,4995,6229,5368,1530,2510,3616,7496,4410,16889,4463,16109,5307,11863,6077,7494,5395,6020,166,7277,67,8312,128,10293,297,24696,673,33756,1778,70802,9286,37139,22610,38269,25132,37188,22649,38615,14252,21695,7664,12606,11208,11826,12088,10260,14350,11013
OR_Odisha,0,17110,0,22278,0,7956,0,104108,47874,33336,85417,16361,23798,64261,97877,119303,62897,256920,28799,241457,38126,283116,85286,637144,116616,370549,201503,279879,140305,114502,154203,60330,313519,111468,40468,205019,27338,318900,34065,309715,108950,326342,166732,316604,193806,1879929,195190,435332,530602,668642,303348,393107,553130,570756,325336,553874,243395,682979,283141,734627,391102,585769,369414,527177
PB_Punjab,0,4784,0,15716,0,10599,0,22623,8567,18129,23927,27621,10783,33528,18191,50257,20701,80320,16805,114154,16151,202050,30577,317346,48854,288915,91142,250598,139494,244386,131769,152580,145151,139845,18398,65718,36033,93277,32292,138819,24537,165049,30047,108030,92426,842249,82526,200784,310724,522739,208272,359225,149507,183010,257951,291506,165820,553668,345123,486199,351410,621804,323821,663459
PY_Puducherry,0,255,0,565,0,651,0,886,599,1652,606,863,766,2446,1381,4681,1615,6976,1287,9103,1231,8849,1690,7178,3697,29546,6146,7378,9358,4570,9819,3299,10987,3077,1648,5496,258,10039,477,12033,1076,18579,2518,32616,6230,69306,8482,23177,31110,26801,24922,27562,10510,15212,7953,14924,5195,14055,5953,12346,8554,10277,12526,11315
RJ_Rajasthan,0,12804,0,110332,0,55754,0,158512,18015,133660,202927,11811,76148,375756,131762,363068,192159,532482,36232,552852,109258,453734,311550,1381842,238042,505522,515595,492718,393105,319993,319708,318405,419949,401977,51667,467590,62484,387230,111892,446372,131244,928467,49956,726732,368277,3475633,290257,653234,559591,685236,625052,732090,1019823,1243817,1103288,988470,807915,1307631,679360,1165427,661779,1224164,764478,1543128
SK_Sikkim,0,121,0,503,0,868,0,924,697,2413,768,5378,2357,3760,3762,8389,2114,5991,3217,5347,-253,2104,2366,16313,4723,20503,10592,9166,12540,4926,10887,1940,5813,842,52,3805,13,3319,65,285,78,14050,108,44799,1627,72540,20284,37984,33873,34912,18650,22219,9554,16647,3958,7574,2774,5388,6345,5596,7114,5561,2432,2513
TG_Telangana,0,7158,0,32841,0,14861,0,75335,78781,11017,48883,9193,19467,26929,57912,63499,13511,67986,11027,95140,15163,201026,42058,244981,67635,437799,124923,428553,149062,396934,117735,111752,317367,38123,7423,1514,158438,79217,65877,334123,41099,647999,38927,617496,74154,1312438,190289,687251,279952,452125,395456,449464,489153,356509,575910,361650,448509,386808,288542,357609,152154,382209,187620,387142
TN_Tamil Nadu,0,10156,0,16433,0,18037,0,28243,10185,28741,25141,19143,22387,97001,51540,257753,62520,323594,51975,344148,48622,250560,93264,204551,196615,445452,319981,192575,429742,170705,300297,124954,271591,145129,73828,140203,37764,720815,90569,751257,38396,251549,113239,915779,184571,2345224,225704,832599,270220,565946,455702,802615,349327,775237,381407,852092,458694,993157,274967,668640,375249,804211,831097,1270860
TR_Tripura,0,679,0,2847,0,2988,0,23510,10994,16159,10008,7841,7252,9441,16975,15930,19932,50592,9433,150572,3100,46412,12114,43208,16245,22362,67529,27719,164568,43524,111723,23666,55812,17886,1268,26491,536,20780,490,29636,1187,10150,22729,96466,34676,562222,41715,83019,29566,42301,52111,71780,41164,47330,50220,103753,16694,38977,22822,26246,21500,19227,30256,22082
UP_Uttar Pradesh,0,7096,0,123854,0,93350,0,203840,98768,190242,288785,123313,135013,107484,89761,317167,272556,684957,132826,654755,36459,532189,172685,1011329,333138,986709,383684,407215,373381,316352,409876,347553,453328,441255,149622,652973,94466,900956,171209,1185569,167451,1457720,223941,1425689,271599,5014566,445087,1280265,986051,2596423,722460,1746149,690648,2147943,593657,2082227,624327,2978607,615963,2049238,895781,3124643,1113179,3535186
UT_Uttarakhand,0,1258,0,5709,0,13829,0,29940,7388,25194,13116,9183,30182,19072,29764,36178,30311,60658,12387,62917,12297,100842,38366,180251,53906,106647,91859,98368,94573,86503,140258,45253,121747,103051,4791,78872,1677,62264,3732,58285,6270,137900,36226,122799,29430,713518,89377,177650,134559,185336,148688,137956,172149,174702,115355,160729,123704,288249,154268,354614,129186,288118,128970,285852
WB_West Bengal,0,14052,0,45525,0,45069,0,76785,34783,90976,100425,278269,82342,188622,114007,379507,121997,508926,134609,551380,90915,582804,191407,811249,212506,364611,521921,342806,653015,279102,710460,80844,636895,70423,122121,176110,48102,612407,77886,981769,84265,880108,169445,613419,443937,3447029,652976,784466,882644,757357,998941,853483,839704,824381,527297,810165,411570,1141191,303539,907202,401607,895841,1101258,1455072
