Districtid,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17
NL_Longleng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
NL_Mokokchung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
NL_Mon,0,0,0,0,0,0,0,0,0,0,0,23,0,25,12,6,35
NL_Peren,0,0,0,0,0,0,0,0,0,0,0,53,10,21,78,88,42
NL_Phek,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,4
NL_Tuensang,0,0,0,0,0,0,0,0,0,0,2,5,1,3,2,17,16
NL_Wokha,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,1
NL_Zunheboto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
OR_Balangir,0,0,0,0,0,0,2,0,0,7,60,47,25,9,15,48,47
OR_Bargarh,0,0,0,0,0,0,0,0,0,0,2,14,2,34,17,64,35
OR_Bhadrak,0,0,0,0,0,0,19,6,21,52,15,27,17,28,40,20,37
OR_Cuttack,0,0,0,0,0,0,1,1,8,47,38,72,144,70,156,178,272
OR_Dhenkanal,0,0,0,0,0,0,1,0,0,1,16,15,16,3,21,11,11
OR_Gajapati,0,0,0,0,0,0,0,0,0,4,16,41,23,107,236,22,144
OR_Ganjam,0,0,0,0,0,0,2,116,159,64,63,193,81,175,342,871,1568
OR_Jharsuguda,0,0,0,0,0,0,2,0,0,3,2,1,7,6,59,48,37
OR_Kalahandi,0,0,0,0,0,0,2,0,0,11,7,7,14,23,6,6,3
OR_Kandhamal,0,0,0,0,0,0,0,0,0,5,8,12,42,80,30,9,7
OR_Kendrapara,0,0,0,0,0,0,2,6,18,14,31,92,12,23,37,29,32
OR_Kendujhar,0,0,0,0,0,0,1,1,2,7,11,10,27,39,9,50,135
OR_Khordha,0,0,0,0,0,0,47,3,6,18,57,95,108,105,332,173,287
OR_Koraput,0,0,0,0,0,0,1,0,0,0,7,6,3,7,4,29,38
OR_Malkangiri,0,0,0,0,0,0,0,0,0,8,11,2,4,26,7,53,23
OR_Mayurbhanj,0,0,0,0,0,0,0,8,3,3,3,53,38,31,42,72,74
OR_Nabarangapur,0,0,0,0,0,0,0,0,0,1,1,0,0,11,22,18,36
OR_Nayagarh,0,0,0,0,0,0,0,1,5,26,33,18,25,5,25,26,101
OR_Nuapada,0,0,0,0,0,0,0,0,0,0,18,50,6,5,2,1,4
OR_Puri,0,0,0,0,0,0,1,0,17,47,22,13,48,63,37,43,62
OR_Rayagada,0,0,0,0,0,0,0,0,0,0,0,2,5,10,21,77,24
OR_Sambalpur,0,0,0,0,0,0,0,0,0,5,3,8,7,1,25,21,41
OR_Sundargarh,0,0,0,0,0,0,10,3,13,7,15,33,42,23,35,75,404
PY_Karaikal,0,0,0,0,0,0,0,0,2,0,0,0,1,7,29,6,41
PY_Mahe,0,0,0,0,0,0,2,0,0,2,0,0,4,1,1,8,3
PY_Puducherry,0,0,0,0,0,0,7,1,5,7,31,50,64,154,250,268,368
PB_Amritsar,0,0,0,0,0,0,143,145,13,17,56,60,167,153,117,76,93
PB_Barnala,0,0,0,0,0,0,2,19,0,1,1,2,6,12,7,19,5
PB_Bathinda,0,0,0,0,0,0,2,38,1,1,5,8,2,7,25,17,23
PB_Faridkot,0,0,0,0,0,0,6,39,10,6,1,7,17,8,7,10,41
PB_Fatehgarh Sahib,0,0,0,0,0,0,9,20,27,1,1,11,5,13,20,15,22
PB_Fazilka,0,0,0,0,0,0,4,35,5,0,2,0,4,5,35,12,3
PB_Gurdaspur,0,0,0,0,0,0,5,110,7,8,7,11,18,10,32,34,45
PB_Hoshiarpur,0,0,0,0,0,0,42,48,2,10,14,18,3,18,16,15,8
PB_Jalandhar,0,0,0,0,0,0,120,55,32,6,28,29,53,213,150,148,353
PB_Kapurthala,0,0,0,0,0,0,13,11,8,3,1,4,2,20,23,24,17
PB_Ludhiana,0,0,0,0,0,0,97,28,14,34,7,52,101,163,246,275,299
PB_Mansa,0,0,0,0,0,0,13,7,12,0,0,2,0,5,5,5,8
PB_Moga,0,0,0,0,0,0,28,28,3,0,2,5,3,6,19,22,27
PB_Pathankot,0,0,0,0,0,0,25,4,0,3,28,26,52,29,38,19,20
PB_Patiala,0,0,0,0,0,0,86,10,4,7,11,8,23,57,69,79,209
PB_Rupnagar,0,0,0,0,0,0,6,12,42,0,2,9,7,6,18,12,10
PB_S.A.S. Nagar,0,0,0,0,0,0,94,1,7,0,9,13,30,59,29,44,82
PB_Sangrur,0,0,0,0,0,0,7,81,0,0,8,8,34,66,159,164,102
