district,district_id,state_id
dhemaji,AS_Dhemaji,AS
sambhal,UP_Sambhal,UP
gorakhpur,UP_Gorakhpur,UP
kapurthala,PB_Kapurthala,PB
uttar dinajpur,WB_Uttar Dinajpur,WB
ranga reddy,TG_Ranga Reddy,TG
puri,OR_Puri,OR
narayanpet,TG_Narayanpet,TG
mahoba,UP_Mahoba,UP
karbi anglong,AS_Karbi Anglong,AS
washim,MH_Washim,MH
kolar,KA_Kolar,KA
thiruvarur,TN_Thiruvarur,TN
sheopur,MP_Sheopur,MP
auraiya,UP_Auraiya,UP
sheikhpura,BR_Sheikhpura,BR
adilabad,TG_Adilabad,TG
nagarkurnool,TG_Nagarkurnool,TG
idukki,KL_Idukki,KL
pudukkottai,TN_Pudukkottai,TN
kallakurichi,TN_Kallakurichi,TN
sivaganga,TN_Sivaganga,TN
kishtwar,JK_Kishtwar,JK
sitamarhi,BR_Sitamarhi,BR
mainpuri,UP_Mainpuri,UP
mandya,KA_Mandya,KA
sitapur,UP_Sitapur,UP
dahod,GJ_Dahod,GJ
ludhiana,PB_Ludhiana,PB
pakke kessang,AR_Pakke Kessang,AR
bhavnagar,GJ_Bhavnagar,GJ
panchmahal,GJ_Panchmahal,GJ
cuddalore,TN_Cuddalore,TN
east sikkim,SK_East Sikkim,SK
bathinda,PB_Bathinda,PB
udham singh nagar,UT_Udham Singh Nagar,UT
tirunelveli,TN_Tirunelveli,TN
narayanpur,CT_Narayanpur,CT
ambala,HR_Ambala,HR
purnia,BR_Purnia,BR
budaun,UP_Budaun,UP
saharsa,BR_Saharsa,BR
khordha,OR_Khordha,OR
bhadradri kothagudem,TG_Bhadradri Kothagudem,TG
thane,MH_Thane,MH
sivasagar,AS_Sivasagar,AS
surat,GJ_Surat,GJ
lohardaga,JH_Lohardaga,JH
west tripura,TR_West Tripura,TR
mysuru,KA_Mysuru,KA
west singhbhum,JH_West Singhbhum,JH
chittorgarh,RJ_Chittorgarh,RJ
dhenkanal,OR_Dhenkanal,OR
